,Occupancy,DmgFnId,Source,Description,ft04m,ft03m,ft02m,ft01m,ft00,ft01,ft02,ft03,ft04,ft05,ft06,ft07,ft08,ft09,ft10,ft11,ft12,ft13,ft14,ft15,ft16,ft17,ft18,ft19,ft20,ft21,ft22,ft23,ft24,Comment,ft00_5,ft01_5,ft02_5,ft03_5,ft04_5,ft05_5,ft06_5,ft07_5,ft08_5,ft09_5,ft10_5,ft11_5,ft12_5,ft13_5,Source_Table,Occupy_Class,Cover_Class
1,RES1,183,USACE - Wilmington,"two story, Pile foundation, structure",3,3,3,4,7,9,15,23,25,29,31,32,34,35,37,40,44,48,51,55,57,60,62,65,68,78,89,100,100,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
2,RES1,184,USACE - Wilmington,"two story, Structure",0,0,1,1,7,9,15,18,22,25,27,29,32,34,36,40,43,47,50,54,57,60,62,65,68,71,74,77,77,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
3,RES1,105,FIA,"one floor, no basement, Structure, A-Zone",0,0,0,0,18,22,25,28,30,31,40,43,43,45,46,47,47,49,50,50,50,51,51,52,52,53,53,54,54,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
4,RES1,106,FIA (MOD.),"one floor, w/ basement, Structure, A-Zone",7,7,7,11,17,21,29,34,38,43,50,50,54,55,55,57,58,60,62,63,65,67,69,70,72,74,76,77,79,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
5,RES1,115,FIA,"two floors, no basement, Structure, V-Zone",0,0,0,0,5,9,13,18,20,22,24,26,30,34,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
6,RES1,185,USACE - Wilmington,"two story w/ 1/2 living area below, Structure",0,0,0,0,0,2,4,5,7,8,10,10,13,16,21,26,32,36,38,41,43,45,48,51,55,70,85,100,100,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
7,RES1,113,FIA,"one floor, no basement, Structure, V-Zone",0,0,0,0,8,10,14,26,28,29,41,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
8,RES1,114,FIA (MOD.),"one floor, w/ basement, Structure, V-Zone",7,7,10,14,17,21,29,34,38,43,47,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
9,RES1,119,FIA,"split level, no basement, Structure, V-Zone",0,0,0,0,3,9,13,25,27,28,32,37,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
10,RES1,116,FIA (MOD.),"two floors, w/ basement, Structure, V-Zone",4,4,8,14,17,24,26,29,34,39,44,50,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
11,RES1,117,FIA,"three or more floors, no basement, Structure, V-Zone",0,0,0,0,4,8,12,17,19,22,24,25,30,35,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
12,RES1,118,FIA (MOD.),"three or more floors, w/ basement, Structure, V-Zone",3,3,6,10,11,14,20,25,31,36,38,41,44,47,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
13,RES1,21,FIA,"one floor, no basement, Contents, A-Zone",0,0,0,0,12,25,35,36,38,41,45,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
14,RES1,111,FIA,"split level, no basement, Structure, A-Zone",0,0,0,0,3,9,13,25,27,28,33,34,41,43,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
15,RES1,112,FIA (MOD.),"split level, w/ basement, Structure, A-Zone",6,6,9,14,15,24,27,30,35,40,43,44,52,56,58,60,62,64,66,68,70,72,74,76,78,81,83,85,87,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
16,RES1,24,FIA (MOD.),"two floors, w/ basement, Contents, A-Zone",0,5,7,8,16,18,25,29,33,37,42,46,52,55,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
17,RES1,25,FIA (MOD.),"three or more floors, no basement, Contents, A-Zone",0,0,0,0,7,15,21,22,23,25,27,30,35,40,43,45,48,50,52,54,56,58,60,60,60,60,60,60,60,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
18,RES1,26,FIA (MOD.),"three or more floors, w/ basement, Contents, A-Zone",0,5,7,8,15,22,27,28,29,30,32,35,39,43,46,47,50,52,53,55,57,58,60,60,60,60,60,60,60,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
19,RES1,27,FIA,"split level, no basement, Contents, A-Zone",0,0,0,0,8,11,19,23,28,33,39,44,50,54,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
20,RES1,28,FIA (MOD.),"split level, w/ basement, Contents, A-Zone",0,5,7,8,16,18,25,29,33,37,42,46,52,55,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
21,RES1,29,FIA,"one floor, no basement, Contents, V-Zone",0,0,0,0,10,17,23,29,35,40,45,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
22,RES1,30,FIA,"one floor, w/ basement, Contents, V-Zone",0,5,7,8,15,20,22,28,33,39,44,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
23,RES1,31,FIA,"two floors, no basement, Contents, V-Zone",0,0,0,0,7,9,17,22,28,33,39,44,50,54,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
24,RES1,107,FIA,"two floors, no basement, Structure, A-Zone",0,0,0,0,11,12,14,18,20,22,24,26,30,34,38,39,40,42,43,44,45,47,48,49,50,52,53,54,56,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
25,RES1,108,FIA (MOD.),"two floors, w/ basement, Structure, A-Zone",4,4,8,14,19,21,26,29,34,39,44,50,55,57,59,61,63,65,66,68,69,71,72,74,75,77,79,80,82,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
26,RES1,109,FIA,"three or more floors, no basement, Structure, A-Zone",0,0,0,0,5,8,12,17,19,22,24,25,30,35,38,39,40,42,43,44,45,47,48,49,50,52,53,54,56,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
27,RES1,22,FIA,"one floor, w/ basement, Contents, A-Zone",0,5,7,8,16,20,22,28,33,39,44,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
28,RES1,23,FIA,"two floors, no basement, Contents, A-Zone",0,0,0,0,8,11,19,23,28,33,39,44,50,54,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
29,RES1,45,USACE - IWR,"one story, no basement, Contents",0,0,0,4,16,26,36,44,52,58,64,68,72,74,76,78,80,80,80,80,80,80,80,80,80,80,80,80,80,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
30,RES1,46,USACE - IWR,"two or more stories, no basement, Contents",0,0,0,2,10,18,24,32,38,42,48,52,56,60,64,66,70,72,72,74,74,76,76,78,78,80,80,82,82,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
31,RES1,47,USACE - IWR,"split level, no basement, Contents",0,0,0,4,6,10,16,22,30,40,50,62,72,82,92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
32,RES1,48,USACE - Chicago,"one story, no basement, Contents",0,0,0,0,12,24,33,35,37,41,45,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
33,RES1,49,USACE - Chicago,"one story, w/ basement, Contents",0,6,7,8,15,19,22,28,33,39,43,49,54,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
34,RES1,50,USACE - Chicago,"split level, no basement, Contents",0,0,0,0,2,19,32,41,47,51,53,55,56,62,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
35,RES1,51,USACE - Chicago,"split level, w/ basement, Contents",0,0,10,15,18,31,44,52,58,61,63,64,66,69,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
36,RES1,52,USACE - Chicago,"two story, no basement, Contents",0,0,0,0,8,11,18,23,28,33,39,44,50,54,58,62,66,70,74,78,78,78,78,78,78,78,78,78,78,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
37,RES1,120,FIA (MOD.),"split level, w/ basement, Structure, V-Zone",6,6,6,14,15,24,27,30,35,41,44,48,52,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
38,RES1,121,FIA,"one floor, w/ basement, Structure, A-Zone",0,0,0,0,6,10,18,23,27,32,39,39,43,44,44,46,47,48,49,50,51,52,53,54,55,56,57,58,59,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
39,RES1,122,FIA,"two floors, w/ basement, Structure,  A-Zone",0,0,4,8,13,15,20,23,27,32,37,43,48,51,53,55,57,59,60,61,62,63,64,65,66,67,68,69,70,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
40,RES1,110,FIA (MOD.),"three or more floors, w/ basement, Structure, A-Zone",3,3,6,10,12,14,20,25,31,36,38,41,44,48,50,52,54,56,57,59,61,63,65,67,69,71,73,75,77,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
41,RES1,36,FIA (MOD.),"split level, w/ basement, Contents, V-Zone",0,5,7,8,15,17,23,28,33,37,42,46,52,55,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
42,RES1,58,USACE - New Orleans,"one story, Contents, salt water, long duration",0,0,0,0,0,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
43,RES1,59,USACE - New Orleans,"two story, Contents, fresh water, short duration",0,0,0,0,0,25,37,51,51,55,55,55,55,55,73,81,87,90,93,93,93,93,93,93,93,93,93,93,93,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
44,RES1,60,USACE - New Orleans,"two story, Contents, salt water, long duration",0,0,0,0,0,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
45,RES1,61,USACE - St. Paul,"one story, Contents",0,0,0,0,0,27,44,54,63,68,73,75,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
46,RES1,62,USACE - St. Paul,"two story, Contents",0,0,0,0,0,27,44,54,63,68,73,75,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
47,RES1,63,USACE - Wilmington,"one & 1/2 story, pile foundation, Contents",6,7,8,9,9,21,31,43,54,67,70,73,76,78,81,82,84,85,86,87,88,100,100,100,100,100,100,100,100,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
48,RES1,64,USACE - Wilmington,"one & 1/2 story, Contents",0,0,0,0,9,21,31,37,43,51,57,63,68,74,80,81,83,84,86,87,88,100,100,100,100,100,100,100,100,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
49,RES1,65,USACE - Wilmington,"one & 1/2 story w/ 1/2 living area below, Contents",0,0,0,0,2,6,10,15,18,21,23,24,28,34,44,54,63,73,76,79,82,85,86,87,88,89,90,91,92,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
50,RES1,66,USACE - Wilmington,"one story, pile foundation, contents",9,10,13,13,14,26,38,52,64,78,81,85,88,91,95,96,97,99,100,100,100,100,100,100,100,100,100,100,100,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
51,RES1,67,USACE - Wilmington,"one story, Contents",0,0,0,0,11,24,36,43,46,52,59,66,73,80,87,88,90,92,94,96,100,100,100,100,100,100,100,100,100,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
52,RES1,68,USACE - Wilmington,"one story w/ 1/2 living area below, Contents",0,0,0,0,2,11,16,20,24,28,30,32,38,46,54,63,72,82,85,89,92,95,96,97,98,98,99,100,100,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
53,RES1,69,USACE - Wilmington,"one story w/ basement, Contents",10,12,13,13,20,34,48,52,64,78,81,85,88,91,95,96,98,99,100,100,100,100,100,100,100,100,100,100,100,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
54,RES1,70,USACE - Wilmington,"split level, Contents",0,0,0,0,3,15,21,25,32,44,50,55,61,66,72,75,79,83,87,91,94,94,95,96,97,98,99,100,100,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
55,RES1,71,USACE - Wilmington,"two story, pile foundation, contents",6,7,8,9,10,19,29,38,45,53,55,57,59,61,63,67,71,75,78,82,86,100,100,100,100,100,100,100,100,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
56,RES1,72,USACE - Wilmington,"two story, Contents",0,0,0,0,7,18,26,30,40,50,52,53,55,56,58,63,68,72,77,82,86,100,100,100,100,100,100,100,100,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
57,RES1,73,USACE - Wilmington,"two story w/ 1/2 living area below, Contents",0,0,0,0,1,7,10,13,15,18,19,21,25,33,40,47,54,56,59,62,65,67,71,75,79,83,87,91,95,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
58,RES1,181,USACE - Wilmington,"one story w/ basement, Structure",4,4,5,8,10,14,22,26,28,33,37,41,45,49,54,57,60,63,69,74,80,84,84,85,85,90,95,100,100,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
59,RES1,182,USACE - Wilmington,"split level, Structure",0,0,0,0,3,5,7,11,16,20,25,29,34,38,43,47,51,54,58,62,67,69,72,75,78,80,82,84,84,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
60,RES1,142,USACE - New Orleans,"one story, Pier foundation, structure, fresh water, long",0,0,0,1,12,42,67,71,71,79,79,79,79,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
61,RES1,143,USACE - New Orleans,"one story, Slab foundation, structure, fresh water, short",0,0,0,0,1,22,28,31,33,48,48,48,48,56,56,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
62,RES1,144,USACE - New Orleans,"one story, Slab foundation, structure, fresh water, long",0,0,0,0,1,22,39,42,44,48,48,48,48,56,56,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
63,RES1,145,USACE - New Orleans,"one story, Pier foundation, structure, salt water, short",0,0,0,1,13,46,53,58,59,80,80,80,80,86,86,88,88,88,88,88,88,88,88,88,88,88,88,88,88,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
64,RES1,32,FIA (MOD.),"two floors, w/ basement, Contents, V-Zone",0,5,7,8,15,17,23,28,33,37,42,46,52,55,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
65,RES1,33,FIA (MOD.),"three or more floors, no basement, Contents, V-Zone",0,0,0,0,6,11,15,19,23,26,29,32,35,41,43,45,48,50,52,54,56,58,60,60,60,60,60,60,60,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
66,RES1,34,FIA (MOD.),"three or more floors, w/ basement, Contents, V-Zone",0,5,7,8,14,18,22,25,29,31,34,36,39,44,46,47,50,52,53,55,57,58,60,60,60,60,60,60,60,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
67,RES1,35,FIA,"split level, no basement, Contents, V-Zone",0,0,0,0,7,9,17,22,28,33,39,44,50,54,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
68,RES1,150,USACE - New Orleans,"one story, Structure,  fresh water, long duration",0,0,0,0,0,83,89,93,94,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
69,RES1,151,USACE - New Orleans,"one story, Structure, salt water, short duration",0,0,0,0,0,50,66,81,86,90,91,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
70,RES1,152,USACE - New Orleans,"one story, Structure, salt water, long duration",0,0,0,0,0,95,95,95,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
71,RES1,153,USACE - New Orleans,"one story, Pier foundation, structure, fresh water, short",0,0,0,4,21,42,52,53,57,67,67,67,67,74,74,84,84,84,84,84,84,84,84,84,84,84,84,84,84,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
72,RES1,154,USACE - New Orleans,"one story, Slab foundation, structure, fresh water, short",0,0,0,0,4,34,40,41,47,59,59,59,59,70,70,82,82,82,82,82,82,82,82,82,82,82,82,82,82,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
73,RES1,155,USACE - New Orleans,"one story, Pier foundation, structure, salt water, long",0,0,0,4,21,62,66,66,69,72,72,72,72,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
74,RES1,156,USACE - New Orleans,"one story, Slab foundation, structure, salt water, long",0,0,0,0,7,56,59,59,63,66,66,66,66,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
75,RES1,157,USACE - New Orleans,"two story, Pier foundation, structure, fresh water, short",0,0,0,1,6,18,22,23,29,36,36,36,39,42,46,55,55,68,68,68,68,68,68,68,68,68,68,68,68,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
76,RES1,158,USACE - New Orleans,"two story, Pier foundation, structure, fresh water, long",0,0,0,1,6,18,32,33,36,40,40,40,42,42,56,59,59,71,71,71,71,71,71,71,71,71,71,71,71,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
77,RES1,53,USACE - Chicago,"two story, w/ basement, Contents",0,5,6,9,11,17,22,28,33,39,44,49,55,61,64,71,76,78,79,79,79,79,79,79,79,79,79,79,79,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
78,RES1,54,USACE - Galveston,"one & 1/2 story, no basement, Contents",0,0,0,0,2,22,36,45,57,66,71,77,79,82,84,86,87,89,90,91,92,92,92,93,93,93,93,93,93,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
79,RES1,55,USACE - Galveston,"one story, no basement, Contents",0,0,0,0,8,42,60,71,77,82,85,86,87,88,88,88,89,90,90,90,90,90,90,90,90,90,90,90,90,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
80,RES1,56,USACE - Galveston,"two story, no basement, Contents",0,0,0,0,4,24,34,40,47,53,56,58,58,58,61,66,68,76,81,86,90,100,100,100,100,100,100,100,100,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
81,RES1,57,USACE - New Orleans,"one story, Contents, fresh water, short duration",0,0,0,0,0,42,63,82,85,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgContDmgFn,RES,Cont
82,RES1,124,FIA,"split level, w/ basement, Structure, A-Zone",0,0,3,5,6,16,19,22,27,32,35,36,44,48,50,52,54,56,58,59,60,61,62,63,64,65,66,67,68,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
83,RES1,125,FIA,"one floor, w/ basement, Structure, V-Zone",0,0,0,0,6,10,18,23,27,32,39,39,43,44,44,46,47,48,49,50,51,52,53,54,55,56,57,58,59,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
84,RES1,126,FIA,"two floors, w/ basement, Structure, V-Zone",0,0,4,8,11,18,20,23,28,33,38,44,49,51,53,55,57,59,60,61,62,63,64,65,66,67,68,69,70,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
85,RES1,127,FIA,"three or more floors, w/ basement, Structure, V-Zone",0,0,3,5,6,9,15,20,26,31,33,36,39,42,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
86,RES1,128,FIA,"split level, w/ basement, Structure, V-Zone",0,0,0,5,6,16,19,22,27,32,35,42,48,50,52,54,56,58,59,60,61,62,63,64,65,66,67,68,69,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
87,RES1,129,USACE - IWR,"one story, no basement, Structure",0,0,0,3,13,23,32,40,47,53,59,63,67,71,73,75,77,79,80,81,81,82,82,83,83,83,84,84,84,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
88,RES1,130,USACE - IWR,"two or more stories, no basement, Structure",0,0,0,3,9,15,21,26,31,36,41,45,49,52,56,59,61,64,66,68,69,70,71,72,73,74,74,75,75,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
89,RES1,131,USACE - IWR,"split level, no basement, Structure",0,0,0,6,7,9,13,17,23,29,36,42,49,56,63,69,74,78,82,84,85,85,86,86,87,87,88,88,89,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flBldgStructDmgFn,RES,Bldg
